Vehicle Name,Description,Kilometer,Price,Location,Condition
2019 Volkswagen Golf AU MY19 GTi Black 7 Speed Direct Shift Hatchback,"This awesome Golf GTI will impress ! It comes with Digital Dash, Lane d eparture warning, Park sensors, 18"" Alloy wheels, Smart Phone Connectiv ity, 8 Speaker stereo, Bluetooth, Blind spot sensor, Collison warning, Dual Zone climate control, LED Daytime lamps and more ! We are PERTHS LARGEST HOLDEN GMSV ISUZU UTE SUZUKI and CHEVROLET DEALERSHIP with ove r 500 Vehicles in stock all under "" THE BIG ROOF "" so we will always ha ve a vehicle in stock that suits your needs. Qui",56346 km,"$42,998","Cannington, WA",Dealer used 
2009 HYUNDAI ELANTRA SX SEDAN 2.0L  AUTO,"2009 HYUNDAI ELANTRA SX SEDAN 2.0L AUTO Value midsize Sedan, SX model offers plenty of space for everyone plus Cruise Control , Sports Wheels ,
Bluetooth , Smooth Automatic Trans and more !!
Easy to drive and park so easy to learn on !! HASSLE FREE TEST DRIVES RIGHT HERE !
Clean and tidy.No issues,Runs good,Ice cold air con,Nearly new tyres and much more................ Our Moto : *****************THE BEST PRICE ON THE MARKET*************** Stunning is the best way to describe this v",95239 km,"$7,999","Kenwick, WA",Dealer used 
2016 Audi Q5 8R MY16 3.0 TDI Quattro White 7 Speed Auto Dual Clutch Wagon,"Trade-ins welcome! 
We have competitive, same-day finance options and comprehensive protection plans from leading Australian providers. Our vehicles have been independently mechanically inspected and road tested for your peace of mind. With over 2000 late-model quality passenger and commercial vehicles available under cover at one convenient location, our best price first fixed-price philosophy equals better value for you and provides a simple no-haggle, no-hassle vehicle buying experience.",66520 km,"$44,916","Bentley, WA",Dealer used 
2015 Mitsubishi Triton MQ MY16 GLS Double Cab White 6 Speed Manual Utility,"LOCATED 10 MINUTES FROM THE CBD - WE WELCOME YOU AS A GUEST, NOT JUST ANOTHER NUMBER. WE OFFER A SERVICE SECOND TO NONE SERVICE AND COMPETITIVE, FAST APPROVAL FINANCE TAILORED TO YOUR NEEDS. OUR GOAL IS TO HELP YOU DRIVE AWAY IN YOUR PERFECT NEW CAR, AT THE RIGHT PRICE. OUR FOCUS IS AN EXCELLENT GUEST EXPERIENCE. WE ARE HERE TO HELP!",146348 km,"$28,888","Osborne Park, WA",Dealer used 
2017 Toyota Hilux 4wd Lifted,"2017 Toyota Hilux SR 4WD
Very low 117,000kms
Auto
Brand new 2” lift
Brand new muddies and wheels
New 5% tint
39.5k ono call
May trade for Harley and cash my way
Make an offer, negotiable within reason",,"$39,500","Macquarie Links, NSW",
2020 Hyundai i30 PD2 MY20 Active White 6 Speed Sports Automatic Hatchback,**Fixed Price To The Public** **VERY LOW KMS**Reverse Camera with Reverse Proximity Sensors**Apple/android Carplay**Air Conditioning**Cruise Control**GPS (Satellite Navigation)**Multi-function Control Screen**	Multi-function Steering Wheel** Speak to one of our staff for a Comprehensive Video on this Vehicle! With Market Leading Prices and Friendly Staff To Make Your Buying Experience Smooth And Easy With Our Fixed Priced Deals. Speak to one of our staff for a Comprehensive Video on this Vehi,7936 km,"$21,999","Midvale, WA",Dealer used 
2020 MG ZE,Full service history. Low km. One owner. Selling due to no longer needing a second car. Immaculate condition.,,"$20,000","Woolloongabba, QLD",
2015 Tata Xenon MY15 White 5 Speed Manual Utility,2015 Tata Xenon MY15 White 5 Speed Manual Utility,49978 km,"$14,990","Laverton North, VIC",Dealer used 
2015 Nissan Pathfinder R52 MY15 TI (4x4) Black Continuous Variable Wagon,"FULL SERVICE HISTORY. 2015 NISSIAN PATHFINDER TI AUTO 4X4 AWD SUV PRESENTED IN BLACK. TOP OF THE RANGE LUXURY FEATURE PACKED SUV THAT IS SURE TO IMPRESS IN SHOWROOM CONDITION.. DO NOT DELAY ENQUIRE TODAY. Call our experienced team NOW to secure this AMAZING INTERNET ONLY special price! Family owned Toyota dealership in PERTH, with the biggest range of quality used cars, with an exceptional personal touch. WHERE THE GUEST ALWAYS COMES FIRST..... Rigorously inspected 100 point mechanical chec",118279 km,"$29,888","Osborne Park, WA",Dealer used 
2018 Hyundai i30 PD Active White 6 Speed Auto Sequential Hatchback,"FINANCE AVAILABLE
FOR YOUR PERSONALISED PAYMENT. Call now for a tailored finance quote to suit your personalised needs from one of our 3 Finance Managers.
Buy Online with complete confidence finance and payment, trade-in valuations, electronic documents and contactless e-sign. It has never been easier to secure the car of your dreams! i30 PD ACTIVE 2.0L 4Cyl GASOLINE DIRECT INJ 6 SP AUTO SEQUENTIAL 4D HATCHBACK Buy with confidence from one of the largest and most experienced New and Used C",203818 km,"$17,555","Wyoming, NSW",Dealer used 
2007 Ford Falcon BF MkII XR6 Silver 4 Speed Auto Seq Sportshift Sedan,"Great value 2007 BFII XR6 Sedan! This nice looking Sedan drives well and has a powerful 4.0L Engine, Air Conditioning, Power Steering, Sporty Automatic Transmission, Electrics, ABS, Airbags, Alloys and much much more! Drives well. Priced to sell very quickly. Hurry in for a test drive today! This Vehicle is located in Perth, Western Australia! Extended Warranties and Competitive Finance Packages available, Top trade in prices offered, all less than 20kms North of Perth CBD! We are a Western Aus",,"$6,790","Wangara, WA",Dealer used 
2008 Holden Commodore VE MY09.5 SS Blue 6 Speed Manual Utility,"With service history and low kms great looking 2008 Holden Commodore SS Ute in blue 
Commodore SS Ute: - 6.0l petrol V8 engine - Manual transmission - Hard lid - Alloy wheels - Lowered - Bluetooth - Cruise control - Multi function steering wheel - USB - Power windows and mirrors - Great range of warranty options available 
This car is price checked under our Clear Pricing Guarantee, our lowest price upfront, we've done all the hard work and you will not find better value! We of",127507 km,"$29,870","Victoria Park, WA",Dealer used 
2007 Ford Fairlane BF Ghia White 6 Speed Auto Seq Sportshift Sedan,Here at Sherlow Used Cars we are dedicated to exceeding your expectations every time and strive to deliver the finest automotive buying experience. For more information or a test drive please call Cameron on 03******1007 or email me directly at We have been delivering great cars and good prices for over 40 years! We are situated only 45min from Melbourne CBD in the south east. You can also view our stock at sherlowusedcars.com,,"$10,990","Officer, VIC",Dealer used 
2017 Isuzu D-MAX MY17 LS-Terrain Crew Cab White 6 Speed Sports Automatic Utility,2017 Isuzu D-MAX MY17 LS-Terrain Crew Cab White 6 Speed Sports Automatic Utility,116531 km,"$47,990","Pakenham, VIC",Dealer used 
2013 Mercedes-Benz Vito MY13 113CDI LWB Black 5 Speed Automatic Van,"2013 MERCEDES-BENZ VITO 113CDI,Long wheel base crew cab, 5 seater, 2.1 lt turbo diesel, automatic, power steering, power windows, power mirrors, cruise control, central locking, air/con,drives excellent very clean vehicle ,come in and test drive today.",109477 km,"$28,490","Condell Park, NSW",Dealer used 
2006 Toyota hilux,"Good condition
No longer needed
Low kms
Petrol
Manual
Quick sale $9500",,"$9,500","Bedfordale, WA",
2018 Toyota Fortuner GUN156R MY18 Crusade Crystal Pearl 6 Speed Automatic Wagon,2018 Toyota Fortuner GUN156R MY18 Crusade Crystal Pearl 6 Speed Automatic Wagon,95052 km,"$51,990","Rockingham, WA",Dealer used 
"2012 Ford Ranger PX XL Cab Chassis Single Cab 2dr Man 6sp, 4x2 1306kg 2.2DT White Manual Cab Chassis","The Vehicle is currently offsite. Please advise what time we can schedule a test drive for? We will ensure the car is easily accessible for when you arrive.
We are located at 464 canning hwy, Como. Cheers NextRide Perth Based** Please genuine Enquiries only, as we are charged per lead*** Comos ONLY dedicated Car Dealership, scroll down to see our location in the fine print** We want your old car and even if we cannot help you with your new vehicle we will honour your trade price and purcha",233000 km,"$13,911","Como, WA",Dealer used 
2017 Subaru Impreza G5 MY17 2.0i CVT AWD White 7 Speed Constant Variable Hatchback,"LOCAL CAR ONLY ONE OWNER FULL SERVIC HISTORY!!! 
You can BUY from us WITH CONFIDENCE when all our vehicles undergo a comprehensive 120 Point Safety Check performed by our Factory Trained Technicians. Benefits of buying from us include *24/7 Roadside Assistance (up to 10 YEARS), and economical *Fixed Price Servicing all of which is designed to offer you PEACE OF MIND MOTORING. Help is only a phone call away-anywhere, anytime. NEED FINANCE? Our company offers comprehensive and h",78786 km,"$21,985","Old Reynella, SA",Dealer used 
2012 Subaru Forester S3 MY12 XS AWD Blue 4 Speed Sports Automatic Wagon,"COME TEST DRIVE TODAY!!!! 
At Zai Motors we have a selection of hand picked vehicles and stand by every vehicle we sell. We offer a hassle free buying experience as purchasing a new car is a big decision to make. 
*****EXTENDED WARRANTIES***** 
We can offer an Extended Integrity Warranty from 1 to 5 Years with 5 different levels of cover to select from. These Warranties are excellent value and are also transferable if you decided to sell the vehicle privately in the future. 
*****FINAN",177000 km,"$11,990","St James, WA",Dealer used 
2009 Volkswagen Golf 1K 6th Gen 90 TSI Trendline Silver 7 Speed Auto Direct Shift Hatchback,"-VW GOLF TRENDTLINE 5 DOOR HATCH
-VERY LOW 91,000 KMS
-AUTOMATIC TRANSMISSION
-MODERN DRIVING AT A BUDGET PRICE
-FULL SERVICE HISTORY
-GREAT 1ST CAR
-GREAT SIZE VERY FUNCTIONAL
-FULLY OPTIONED
-VERY ECONOMICAL
-4 CYLINDER ENGINE 1.4 LITRE
-VERY POPULAR MODEL
-SAFETY PACK
-POWER STEERING
-AIR COND
-AIRBAGS
-CENTRAL LOCKING
-CD PLAYER
-X2 KEYS
-AND MANY MANY MORE OPTIONS
-POWERFUL YET ECONOMICAL
-DRIVES AND HANDLES GREAT
-RWC INCLUDED
-REGO INCLUDED
-WARRANTY INCLUDED
-PRICED TO SE",91000 km,"$10,499","Brooklyn, VIC",Dealer used 
Mazda 6 Silver Wagon,Mazda 6 Silver Wagon,152154 km,"$7,990","Moorooka, QLD",Dealer used 
2019 Nissan X-Trail T32 Series II ST X-tronic 2WD Titanium Grey 7 Speed Constant Variable Wagon,"Smooth 2.5 litre power, 7 speed sports shift automatic, good service history, SEVEN seater, popular Titanium Grey in color, two keys and the balance of New Car Warranty until August 2024 or up to 200000kms, which ever comes first. Trouble-free motoring ahead at an affordable price in a very tight used car market experiencing unprecedented demand. Ubers, be quick. Trade ins are welcome, wanted & needed, plus competitive finance is available to approved applicants (terms & conditions may apply).",59821 km,"$25,990","Bassendean, WA",Dealer used 
2015 Holden Special Vehicles Maloo Gen-F2 MY16 R8 LSA Black 6 Speed Sports Automatic Utility,"E.O.F.Y Price Reduction On This Highly Sort after Black Maloo LSA with Only 9644 kms full service history, 2 keys and certificates. Comes Equipped With: Sat Nav, Leather Sports Seats, Cruise Control, Hard Lid, 20 Inch Alloys and so much more. Trade-ins are welcome and finance is available at great rates with fast approvals by our friendly team. Go Up Daily So Be Quick.....",9644 km,"$149,999","Welshpool, WA",Dealer used 
2017 Toyota Landcruiser VDJ200R GX Glacier White 6 Speed Sports Automatic Wagon,"DUAL WHEEL CARRIER, BULL BAR AND SNORKEL. 2017 TOYOTA LANDCRUSIER GX AUTO 4X4 TURBO DIESEL SUV PRESENTED IN GLACIER WHITE. KING OFF THE ROAD IN SHOWROOM CONDITION. DO NOT DELAY ENQUIRE TODAY, WE HAVE THE BIGGEST RANGE OF TOYOTA CERTIFIED PRE-OWNED VEHICLES. PLEASE ASK US ABOUT TOYOTA ACCESS ON THIS VEHICLE, A REVOLUTIONARY WAY TO MAKE YOUR DREAM TOYOTA A REALITY WITH LOW MONTHLY REPAYMENTS AND A GUARANTEED FUTURE VALUE FOR PEACE OF MIND. Call our experienced team NOW to secure this AMAZING IN",91013 km,"$72,990","Osborne Park, WA",Dealer used 
2012 Honda Fit GP2 Shuttle Hybrid Black Constant Variable Wagon,"2012 Honda Fit Shuttle Hybrid 1.3L Wagon, mileage 70518 km. -1.3 L i-VTEC engine (88 hp) with IMA.
-Integrated Motor Assist (IMA) is Honda's hybrid car technology, introduced in 1999 on the Insight. It is a specific implementation of a parallel hybrid. It uses an electric motor mounted between the internal combustion engine and transmission to act as a starter motor, engine balancer, and assist traction motor.
-10kW electric motor
-Very low fuel consumption
-Black exterior
-5 grey half leathe",70518 km,"$15,590","Moorabbin, VIC",Dealer used 
2014 Mercedes-Benz Sprinter NCV3 MY14 319CDI Low Roof MWB 7G-Tronic White 7 Speed Sports Automatic,"Just in stock and for sale is our 2014 Mercedes Benz Sprinter Van Automatic Turbo Diesel.
This car is fitted with Mercedes' reliable 3.0L Turbo diesel V6 with 7 Speed Automatic Transmission.
Ex Government Ambulance which means this car is mechanically perfect and serviced meticulously.
The cabinetry can be easily removed from the back and the wiring can be repurposed for any application you desire!
This van is well maintained throughout and in great condition.
These vans don't last long, call u",167000 km,"$37,500","Darra, QLD",Dealer used 
2016 Honda Civic 10th Gen MY16 VTi Silver 1 Speed Constant Variable Sedan,"Why pay $23990, when you can buy direct from our Warehouse and SAVE BIG! Smart buyers save THOUSANDS of dollars on hundreds of cars, starting from just $1990, and all under one roof! Shop where the Dealers shop, and come and see why we sell over 400 cars per month! Ask us to send you a video on this actual car today!!",64000 km,"$20,852","Mile End South, SA",Dealer used 
"2016 Ford Kuga SUV -AWD, 6spd Auto. **BARGAIN**","Make- Late 2016 Ford SUV
Model- Kuga TF Trend - ALL WHEEL DRIVE
Low Km’s - 80,000 - Full logbook Service history
- Registration through to 27/04/2022
- 1 Lady owner - selling due to purchasing car through our business. - Keyless start / Push Start feature
- Eco Boost technology, saving fuel and limiting emissions, it’s the cool car that turns off at the lights and automatically starts when you take your foot off the brake! Fantastic family car with so much space in the back for kids as well ",,"$17,500","Hillside, VIC",
2013 Nissan Micra K13 MY13 ST Silver 4 Speed Automatic Hatchback,"Great value Automatic Nissan Micra ST! This nice looking little car drives well and has an economical Petrol Engine, Air Conditioning, Power Steering, Sporty Automatic Transmission, Electrics, ABS, Airbags and much much more! Drives very well. Priced to sell very quickly. Hurry in for a test drive today! This Vehicle is located in Perth, Western Australia! Extended Warranties and Competitive Finance Packages available, Top trade in prices offered, all less than 20kms North of Perth CBD! We are ",,"$6,750","Wangara, WA",Dealer used 
2016 Subaru XV G4X MY17 2.0i-S Lineartronic AWD Blue 6 Speed Constant Variable Wagon,"Look at this One owner, full service history, TOP OF THE RANGE, Leather Interior, Sunroof, Hyper blue, be sure to stand out from the crowd. Why wait for New when you could be driving this NOW. 
You can BUY from us WITH CONFIDENCE when all our vehicles undergo a comprehensive 120 Point Safety Check performed by our Factory Trained Technicians. 
Benefits of buying from us include *24/7 Roadside Assistance (up to 10 YEARS), and economical *Fixed ",92727 km,"$25,987","Old Reynella, SA",Dealer used 
1995 Toyota Camry VDV10 Vienta CSi White Gold 4 Speed Automatic Sedan,"JUST PASSED FULL PITT INSPECTION (10/06/2021) AND TRAVELED A MERE ***** 76,120 KLMS******* THATS APPROX 2,900 KLMS A YEAR. THIS VEHICLE HAS BEEN IN A TIME WARP VIRTUALLY NO WEAR AND TEAR INSIDE OR AROUND THE BODY. HAS SPENT MOST OF ITS LIFE UNDER COVER WITH NO FADING TO TRIM OR PAINT. HAS THE POPULAR AND RELIABLE TOYOTA V6 AUTOMATIC COMBO, ICY COLD AIR COND AND ORIGINAL WHEEL COVERS. FIND ANOTHER ONE. FIRST TO SEE WILL BUY...Inspection and test drive welcome and wont dissapoint. First to see w",,"$6,990","Wangara, WA",Dealer used 
2013 Audi Q3 8U MY14 TDI S Tronic Quattro Red 7 Speed Sports Automatic Dual Clutch Wagon,2014 Model AUDI Q3 2.0 TDI Q S-TRON-103KW in Misano Red features factory options such: - 18 5 ARM OFF -ROAD DESIGN - METALLIC PAINT - TECHNIK PACKAGE 1 - FULL COLOUR BUMPERS - OPEN SKY SUNROOF Audi Approved Plus pre-owned vehicles give you assurance with a 115-point check quality inspection Audi's Flagship Dealership can offer you: - Just 5kms from the Sydney CBD & 7kms from Sydney Airport - Competitive Finance and Insurance,46801 km,"$27,880","Zetland, NSW",Dealer used 
2014 Jeep Grand Cherokee WK MY14 Blackhawk (4x4) White 8 Speed Automatic Wagon,"BEAST BLACKHAWK!! HIGHLY SPECD!! Be quick thil will not last long, supremely good condition for its age!! Drives and presents very well, perfect for the gorwing family or an every day commute!! Enquire today on our awesome finance packages available on this beauty!!",212786 km,"$21,992","Jandakot, WA",Dealer used 
2014 Ford Ranger PX XL 2.2 Hi-Rider (4x2) White 6 Speed Automatic Crew Cab Pickup,2014 Ford Ranger PX XL 2.2 Hi-Rider (4x2) White 6 Speed Automatic Crew Cab Pickup,223576 km,"$18,880","Blair Athol, SA",Dealer used 
Mitsubishi challenger 2005 auto one owner log books 4x4,"Mitsubishi challenger 2005 auto 4x4
Clear tittle free of accidents and encumbrances
One owner with complete up to date service history
Tinted windows
Nudge bar spot lights
Tow bar
This is a very tidy well looked after vehicle and is ready to go
6 months registration
Rwc
Finance available
Trade ins welcome
We are by appointment
Please call to arrange a time to inspect",180543 km,"$8,950","Biggera Waters, QLD",Dealer used 
2007 Suzuki Swift RS415 RE1 Grey 4 Speed Automatic Hatchback,2007 Suzuki Swift RS415 RE1 Grey 4 Speed Automatic Hatchback,131255 km,"$7,990","Mount Druitt, NSW",Dealer used 
2010 Nissan Micra K12 4 Speed Automatic Hatchback,"2010 NISSAN MICRA AUTOMATIC HATCHBACK !! $4999.00 FEATURES LOGBOOK SERVICE HISTORY, SMOOTH AUTOMATIC TRANSMISSION, AIR CON, ABS BRAKES, FULL ELECTRICS, AND MORE !! YOU WON'T BUY BETTER !! ONLY $4999.00 WITH 12 MONTH PART'S AND LABOUR WARRANTY !! WANGARA USED CAR CENTRE 7B PEMBROKE RD, WANGARA 6065.",186653 km,"$4,999","Wangara, WA",Dealer used 
2014 Honda CR-V RM MY15 VTi Navi White 5 Speed Automatic Wagon,"If you feel this car is ticking all the boxes and wish to secure it subject to a test drive and viewing, give us a call and one of our experienced sales staff will help you make sure you don't miss out! We sell all over the Perth area including but not limited too Joondalup, Wangara, Burns Beach, Innaloo, Nollamara, Mirrabooka, Yanchep, Canning Vale, Melville, Fremantle, Bunbury, Yarloop, Collie, Busselton, Rockingham, , South Perth, East Perth, North Perth, CBD and more! Did I mention we ca",105966 km,"$19,988","Mandurah, WA",Dealer used 
2008 Nissan Pathfinder R51 MY08 ST Silver 5 Speed Sports Automatic Wagon,"***UPGRADED AUDIO UNIT*** 2008 NISSIAN PATHFINDER ST 4X4 AUTO TURBO DIESEL SUV PRESENTED IN SILVER. WELL APPOINTED VERSATILE 4X4 SUV THAT IS SURE TO IMPRESS IN SHOWROOM CONDITION. DO NOT DELAY ENQUIRE TODAY. Call our experienced team NOW to secure this AMAZING INTERNET ONLY special price! Family owned Toyota dealership in PERTH, with the biggest range of quality used cars, with an exceptional personal touch. WHERE THE GUEST ALWAYS COMES FIRST..... Rigorously inspected 100 point mechanical chec",170000 km,"$15,990","Osborne Park, WA",Dealer used 
2014 Ford Focus LW MkII ST White 6 Speed Manual Hatchback,"2014 Ford Focus ST in a white manual comes with LOG BOOK SERVICE HISTORY and this sporty car comes with loads of great features for you to enjoy like: 
18"" Alloy Wheels, 9 Speaker Stereo, ABS (Antilock Brakes), Active Torque Transfer System, Adjustable Steering Col. - Tilt & Reach, Air Cond. - Climate Control 2 Zone, Airbag - Driver, Airbag - Passenger, Airbags - Head for 1st Row Seats (Front), Airbags - Head for 2nd Row Seats, Airbags - Side for 1st Row Occupants (Front), Alarm, Ambient",88177 km,"$24,888","Penrith, NSW",Dealer used 
Hundai Elantra 2012 low k/m register with uber/didi,Hii everyone I am selling my beautiful car hundai Elantra 2012 low k/ms . Ready for uber/didi/ola. But I never driv with uber because I am truck driver . But its good option for you if u don't have job. I need big car bcz I have baby looking for 7 seater. For more information please reply me on gumtree.,,"$10,000","Dandenong, VIC",
2014 Toyota Hiace LWB KDH201R MY12 Upgrade Turbo Diesel Auto Van REGO AND RWC INCL,"COVID-19 UPDATE: Due to the current situation surrounding COVD-19 in Victoria we are open for business as usual with the health and safety of our staff and customers being our top priority. We will still be available online for all enquiries and offering our ""Click and Collect"" service, with video/FaceTime walk around of vehicles. For a limited time, all vehicles purchased online will come with a complementary 3-year extended warranty through AWN and free home delivery via freight wi",,"$27,999","Moorabbin, VIC",Dealer used 
2014 Toyota Hilux TGN16R MY14 Workmate White 4 Speed Automatic Cab Chassis,"FREE DELIVERY TO YOUR DOOR STEP, TO ALL SYDNEY METROPOLITAN AREAS!!! NATIONWIDE DELIVERY AVAILABLE...
UNDER THE CURRENT LOCKDOWN SITUATION, WE ARE SELLING CARS ""UNDER THE CLICK AND COLLECT"" PROCESS. WE HAVE OUR STAFF TO ASSIST YOU WITH AN EASY TRANSACTION.
WE HAVE TO ADAPT AND CHANGE TO THE CURRENT SITUATION TO OUR CUSTOMERS, SO WE NOW OFFER CONTACTLESS EXPERIENCE . SUCH AS FACE TIME,
PLEASE CONTACT US FOR A FURTHER ASSISTANCE, 
ALL PRICES REDUCED_____
REAL SALE_____REAL DEALS
",116726 km,"$19,999","Homebush, NSW",Dealer used 
2012 Subaru Outback MY12 2.5i AWD Blue Continuous Variable Wagon,"FINANCE AVAILABLE
FOR YOUR PERSONALISED PAYMENT. Call now for a tailored finance quote to suit your personalised needs from one of our 3 Finance Managers.
Buy Online with complete confidence finance and payment, trade-in valuations, electronic documents and contactless e-sign. It has never been easier to secure the car of your dreams! OUTBACK MY12 2.5i AWD 2.5L 4Cyl MULTI POINT F/INJ CONTINUOUS VARIABLE 4D WAGON Buy with confidence from one of the largest and most experienced New and Used ",156665 km,"$15,555","Wyoming, NSW",Dealer used 
Hundai Elantra 2012 low k/m register with uber/didi,Hii everyone I am selling my beautiful car hundai Elantra 2012 low k/ms . Ready for uber/didi/ola. But I never driv with uber because I am truck driver . But its good option for you if u don't have job. I need big car bcz I have baby looking for 7 seater. For more information please reply me on gumtree.,,"$10,000","Dandenong, VIC",
2015 Jaguar F-TYPE X152 MY16 Coupe White 8 Speed Sports Automatic Coupe,"FREE VICTORIA WIDE SHIPPING A 3 Year / 200,000km Premium Warranty with Platinum Roadside Assistance come with this vehicle for great peace of mind. 2015 Jaguar F-TYPE X152 Coupe 2dr Quickshift 8sp RWD 3.0SC [MY16] 10 Speaker Stereo 20 Cyclone Alloy Wheels - Black Calipers - Red (front & rear) Heated Seats - 1st Row Seat Memory Pack Panoramic Glass Roof Adjustable Steering Column - Power Air Cond. - Climate Control 2 Zone Alarm with Motion Sensor Alarm with Tow Away Protectio",55586 km,"$86,990","Mornington, VIC",Dealer used 
2011 Nissan Tiida C11 Series 3 MY10 ST White 6 Speed Manual Hatchback,"FREE DELIVERY TO YOUR DOOR STEP, TO ALL SYDNEY METROPOLITAN AREAS!!! NATIONWIDE DELIVERY AVAILABLE...
UNDER THE CURRENT LOCKDOWN SITUATION, WE ARE SELLING CARS ""UNDER THE CLICK AND COLLECT"" PROCESS. WE HAVE OUR STAFF TO ASSIST YOU WITH AN EASY TRANSACTION.
WE HAVE TO ADAPT AND CHANGE TO THE CURRENT SITUATION TO OUR CUSTOMERS, SO WE NOW OFFER CONTACTLESS EXPERIENCE . SUCH AS FACE TIME,
PLEASE CONTACT US FOR A FURTHER ASSISTANCE, or view cars at www.selectiveautos.com.au",180677 km,"$5,999","Homebush, NSW",Dealer used 
2017 Toyota Landcruiser Prado GDJ150R GXL Glacier White 6 Speed Automatic Wagon,"We believe the process of buying a Used Car should be the same as buying a New Car that's why all of our used cars are prepared to the highest standards. All cars are subjected to a 120-point inspection and road test by our highly trained Toyota Technicians then fully detailed by our expert team. Buy with confidence with our 7-day money back guarantee, 12-month Zooper warranty and 12-month Platinum 24/7 roadside assistance plan. We offer competitive finance that can be processed within hours. W",100952 km,"$59,990","The Gardens, NT",Dealer used 
